run_id,candidate_id,case_id,replay,command
near_single_object_candidate_0001,candidate_0001,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-smooth-percent=75 --track-confirm-frames=4 --depth-slice-mm=250 --pcl-cluster-tolerance-mm=35 --split-boundary-px=2 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0001\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0001\final_segmentation
near_adjacent_objects_candidate_0001,candidate_0001,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-smooth-percent=75 --track-confirm-frames=4 --depth-slice-mm=250 --pcl-cluster-tolerance-mm=35 --split-boundary-px=2 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0001\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0001\final_segmentation
far_cabinet_candidate_0001,candidate_0001,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-smooth-percent=75 --track-confirm-frames=4 --depth-slice-mm=250 --pcl-cluster-tolerance-mm=35 --split-boundary-px=2 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0001\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0001\final_segmentation
depth_hole_black_object_candidate_0001,candidate_0001,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-smooth-percent=75 --track-confirm-frames=4 --depth-slice-mm=250 --pcl-cluster-tolerance-mm=35 --split-boundary-px=2 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0001\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0001\final_segmentation
wall_table_background_candidate_0001,candidate_0001,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --track-smooth-percent=75 --track-confirm-frames=4 --depth-slice-mm=250 --pcl-cluster-tolerance-mm=35 --split-boundary-px=2 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0001\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0001\final_segmentation
near_single_object_candidate_0002,candidate_0002,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-low=55 --pcl-frame-interval=1 --track-smooth-percent=65 --infrared-canny-high=110 --pcl-cluster-tolerance-mm=70 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0002\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0002\final_segmentation
near_adjacent_objects_candidate_0002,candidate_0002,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-low=55 --pcl-frame-interval=1 --track-smooth-percent=65 --infrared-canny-high=110 --pcl-cluster-tolerance-mm=70 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0002\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0002\final_segmentation
far_cabinet_candidate_0002,candidate_0002,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-low=55 --pcl-frame-interval=1 --track-smooth-percent=65 --infrared-canny-high=110 --pcl-cluster-tolerance-mm=70 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0002\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0002\final_segmentation
depth_hole_black_object_candidate_0002,candidate_0002,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-low=55 --pcl-frame-interval=1 --track-smooth-percent=65 --infrared-canny-high=110 --pcl-cluster-tolerance-mm=70 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0002\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0002\final_segmentation
wall_table_background_candidate_0002,candidate_0002,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --infrared-canny-low=55 --pcl-frame-interval=1 --track-smooth-percent=65 --infrared-canny-high=110 --pcl-cluster-tolerance-mm=70 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0002\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0002\final_segmentation
