contour_id,persistence_bucket,long_run_count,run_count,bbox_width_p50,bbox_height_p50,bbox_area_percent_p50,foreground_area_percent_p50,mean_depth_mm_p50,center_radius_percent_p50,base_side,side,track_count,contour_count,frame_count,pair_count,binary_iou_min,binary_iou_p05,binary_iou_p50,binary_iou_p95,binary_iou_max,binary_iou_gt99_percent,occupancy_similarity_p05,occupancy_similarity_p50,occupancy_similarity_p95,binary_exact_adjacent_pair_count,binary_exact_adjacent_pair_percent,identity_scoped_binary_unique_value_count,identity_scoped_binary_repeated_frame_count,identity_scoped_binary_max_repeat_frequency,shape_only_binary_unique_value_count,identity_scoped_occupancy_unique_value_count,identity_scoped_occupancy_repeated_frame_count
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,512,2,1,1140,1138,93.36073076776384,96.51918931035155,98.50029260900095,99.43091293093221,99.68060617686552,22.49560632688928,98.60795974731445,99.3997573852539,99.77378845214844,0,0.0,1140,0,1,1140,1140,0
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,256,2,1,1140,1138,93.83035374667173,96.64058122893404,98.7958864651267,99.50284568928666,99.67082599709101,33.74340949033392,98.60937118530273,99.3997573852539,99.77378845214844,0,0.0,1140,0,1,1140,1140,0
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,128,2,1,1140,1138,92.89592760180996,95.54180876422114,97.75230044666304,99.51051550806304,99.75753902106379,14.323374340949034,98.6158561706543,99.40013885498047,99.77384567260742,0,0.0,1140,0,1,1140,1140,0
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,64,2,1,1140,1138,93.0572472594397,96.82122428837397,98.84075655887736,99.57089429654997,99.93883792048929,37.96133567662566,98.62958908081055,99.40319061279297,99.77636337280273,0,0.0,1136,4,2,1136,1140,0
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,32,2,1,1140,1138,94.58128078817734,97.04433497536945,98.76847290640394,99.75308641975309,100.0,42.35500878734622,98.6660385131836,99.4161605834961,99.7861099243164,25,2.196836555360281,320,820,90,320,1140,0
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,16,2,1,1140,1138,95.23809523809524,97.11538461538461,99.03846153846153,100.0,100.0,52.19683655536028,98.73273849487305,99.4314193725586,99.8052978515625,239,21.00175746924429,32,1108,382,32,1140,0
1,shared_long,2,2,435.0,299.0,42.241536,33.639160000000004,1911.0,34.101182,512,8,2,1,1140,1138,95.23809523809524,100.0,100.0,100.0,100.0,99.47275922671353,98.78938674926758,99.45335388183594,99.832763671875,1132,99.47275922671353,2,1138,1137,2,1140,0
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,512,2,1,1140,1138,6.51350420622817,79.60354815070133,87.70999974999467,93.25787890746588,100.0,1.4938488576449913,97.26924896240234,98.47126007080078,99.18573379516602,2,0.1757469244288225,1138,2,2,1138,1138,2
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,256,2,1,1140,1138,6.652042067230144,79.77099881611906,87.81251919958757,93.39009406235755,100.0,1.40597539543058,97.274169921875,98.47831726074219,99.19244766235352,2,0.1757469244288225,1138,2,2,1138,1138,2
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,128,2,1,1140,1138,6.46081992734821,80.12244658694362,88.30281586663372,93.85880177913779,100.0,1.4938488576449913,97.3019790649414,98.4994888305664,99.21880722045898,3,0.26362038664323373,1137,3,2,1137,1138,2
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,64,2,1,1140,1138,6.492146596858639,80.60295945954834,88.68994186543557,94.40181235211412,100.0,0.9666080843585237,97.39938735961914,98.55365753173828,99.26263809204102,3,0.26362038664323373,1137,3,2,1137,1138,2
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,32,2,1,1140,1138,6.584362139917696,77.54627432368297,88.28125,96.7741935483871,100.0,2.8998242530755713,97.55245208740234,98.64540100097656,99.33271408081055,21,1.8453427065026362,1058,82,5,1058,1138,2
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,16,2,1,1140,1138,5.084745762711864,84.84848484848484,93.75,100.0,100.0,12.038664323374341,97.80405044555664,98.82926940917969,99.46992874145508,137,12.038664323374341,169,971,256,169,1138,2
2,shared_long,2,2,241.0,334.0,26.202474,9.99707,1185.0,53.015475,512,8,2,1,1140,1138,0.0,85.71428571428571,100.0,100.0,100.0,81.2829525483304,98.11370849609375,99.06749725341797,99.5960807800293,925,81.2829525483304,9,1131,1018,9,1138,2
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,512,2,1,1140,1138,69.34991606897604,82.58944020841926,88.91642096304297,91.09132685840041,92.7598719316969,0.0,98.37970733642578,99.00188446044922,99.20726776123047,0,0.0,1140,0,1,1140,1140,0
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,256,2,1,1140,1138,69.95934347236862,82.99332855157527,89.18027671725486,91.29406620817302,92.96888141295206,0.0,98.38188171386719,99.00493621826172,99.21085357666016,0,0.0,1140,0,1,1140,1140,0
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,128,2,1,1140,1138,69.41601444912703,82.9920810627797,89.32885906040268,91.66439817070633,93.63321799307958,0.0,98.39134216308594,99.01924133300781,99.22611236572266,0,0.0,1140,0,1,1140,1140,0
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,64,2,1,1140,1138,69.7560975609756,80.10316141960661,87.53387533875339,91.26040410357201,94.32432432432432,0.0,98.41115951538086,99.0671157836914,99.27270889282227,0,0.0,1140,0,1,1140,1140,0
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,32,2,1,1140,1138,58.55855855855856,80.40253225035835,91.86046511627907,96.66666666666667,100.0,0.43936731107205623,98.47564697265625,99.17869567871094,99.38322067260742,5,0.43936731107205623,940,200,36,940,1140,0
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,16,2,1,1140,1138,60.869565217391305,82.3529411764706,93.33333333333333,100.0,100.0,25.131810193321616,98.56321334838867,99.30248260498047,99.53319549560547,286,25.131810193321616,69,1071,537,69,1140,0
3,shared_long,2,2,79.0,479.0,12.240885,7.274414500000001,1546.0,63.375123,512,8,2,1,1140,1138,0.0,83.33333333333333,100.0,100.0,100.0,93.84885764499121,98.68011474609375,99.43103790283203,99.67504501342773,1068,93.84885764499121,8,1132,1104,8,1140,0
4,shared_long,2,2,301.0,205.0,20.086263,6.119466,982.0,43.468559,512,512,2,1,1140,1138,25.02495840266223,50.59966048372665,76.8021942827119,92.00370184164376,100.0,2.460456942003515,95.29817581176758,98.11115264892578,99.40099716186523,28,2.460456942003515,1112,28,2,1112,1112,28
4,shared_long,2,2,301.0,205.0,20.086263,6.119466,982.0,43.468559,512,256,2,1,1140,1138,25.527177472167647,51.13685957068604,77.21505383926926,92.26556616176183,100.0,2.460456942003515,95.3046989440918,98.11649322509766,99.40534591674805,28,2.460456942003515,1112,28,2,1112,1112,28
4,shared_long,2,2,301.0,205.0,20.086263,6.119466,982.0,43.468559,512,128,2,1,1140,1138,25.47071129707113,50.593038677348694,76.7757574509636,92.52566999633017,100.0,2.460456942003515,95.32453536987305,98.13480377197266,99.41679000854492,28,2.460456942003515,1112,28,2,1112,1112,28
