scope,train_run,test_run,side,candidate_contour_count,train_frame_count,test_frame_count,unique_best_correct_count,unique_best_accuracy_percent,correct_including_ties_count,correct_including_ties_percent,correct_score_p50,correct_margin_p05,correct_margin_p50
temporal_within_run,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,8,14,3153,3156,2496,79.08745247148289,2719,86.15335868187579,100.0,-50.0,50.0
temporal_within_run_long,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,8,9,2565,2565,2497,97.34892787524366,2525,98.44054580896686,100.0,26.190476190476197,62.5
temporal_within_run,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_recheck_001,8,13,3003,3003,2239,74.55877455877456,2700,89.91008991008991,100.0,-40.0,33.333333333333336
temporal_within_run_long,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_recheck_001,8,9,2565,2565,2513,97.97270955165692,2537,98.9083820662768,100.0,26.190476190476197,62.5
cross_run_shared_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,8,8,4560,4560,4450,97.58771929824562,4473,98.09210526315789,100.0,7.142857142857145,62.5
cross_run_shared_id,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_001,8,8,4560,4560,3971,87.08333333333333,4509,98.88157894736842,100.0,0.0,62.5
temporal_within_run,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,16,14,3153,3156,2566,81.30544993662865,2597,82.28770595690747,94.73684210526315,-43.80952380952381,35.81443727896817
temporal_within_run_long,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,16,9,2565,2565,2499,97.42690058479532,2499,97.42690058479532,98.07692307692307,5.5555555555555465,61.38996138996138
temporal_within_run,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_recheck_001,16,13,3003,3003,2614,87.04628704628705,2614,87.04628704628705,96.7741935483871,-28.255295429208477,54.16666666666667
temporal_within_run_long,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_recheck_001,16,9,2565,2565,2535,98.83040935672514,2535,98.83040935672514,99.04761904761905,12.5,63.63636363636363
cross_run_shared_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,16,8,4560,4560,3984,87.36842105263158,3984,87.36842105263158,96.875,-15.277777777777779,64.73684210526316
cross_run_shared_id,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_001,16,8,4560,4560,3976,87.19298245614036,3976,87.19298245614036,95.23809523809523,-1.4619883040935644,63.63636363636363
temporal_within_run,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,32,14,3153,3156,2660,84.28390367553865,2661,84.31558935361217,92.10526315789474,-30.41615667074663,36.13023522662077
temporal_within_run_long,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_001,32,9,2565,2565,2535,98.83040935672514,2535,98.83040935672514,94.36619718309859,19.416134840906693,53.86363636363636
temporal_within_run,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_recheck_001,32,13,3003,3003,2669,88.87778887778887,2669,88.87778887778887,92.6829268292683,-17.446313706086094,46.388888888888886
temporal_within_run_long,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_recheck_001,32,9,2565,2565,2546,99.25925925925925,2546,99.25925925925925,93.54838709677419,19.444444444444443,53.86363636363636
cross_run_shared_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,32,8,4560,4560,4546,99.69298245614036,4546,99.69298245614036,91.30434782608695,7.236842105263152,62.11512717536814
cross_run_shared_id,binary_contour_static_long_repeat_recheck_001,binary_contour_static_long_repeat_001,32,8,4560,4560,4523,99.18859649122807,4523,99.18859649122807,91.78082191780823,7.171052631578945,64.9761274379271
