slot,candidate_id,total_score,near_score,far_score,performance_score,unknown_p50,frame_ms_p95,run_id
best_overall,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_far_retention,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_realtime,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_low_unknown,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_low_merge,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_low_split,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_roi_refresh,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_roi_stereo_preservation,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_roi_stereo_rebuild,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
best_roi_stereo_direct_build,candidate_0035,93.67,20.0,10.0,4.67,0.0,68.8496,hand_occlusion_reappear_proxy_candidate_0035
