slot,candidate_id,total_score,near_score,far_score,performance_score,unknown_p50,frame_ms_p95,run_id
best_overall,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_far_retention,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_realtime,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_low_unknown,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_low_merge,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_low_split,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_roi_refresh,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_roi_stereo_preservation,candidate_0046,93.386,20.0,10.0,4.386,0.0,70.744,hand_occlusion_reappear_candidate_0046
best_roi_stereo_rebuild,no_pass_candidate,,,,,,,
best_roi_stereo_direct_build,no_pass_candidate,,,,,,,
