slot,candidate_id,total_score,near_score,far_score,performance_score,unknown_p50,frame_ms_p95,run_id
best_overall,candidate_0030,93.868,20.0,10.0,4.868,0.0,67.5312,hand_occlusion_reappear_candidate_0030
best_far_retention,candidate_0030,93.868,20.0,10.0,4.868,0.0,67.5312,hand_occlusion_reappear_candidate_0030
best_realtime,candidate_0030,93.868,20.0,10.0,4.868,0.0,67.5312,hand_occlusion_reappear_candidate_0030
best_low_unknown,candidate_0030,93.868,20.0,10.0,4.868,0.0,67.5312,hand_occlusion_reappear_candidate_0030
best_low_merge,candidate_0030,93.868,20.0,10.0,4.868,0.0,67.5312,hand_occlusion_reappear_candidate_0030
best_low_split,candidate_0030,93.868,20.0,10.0,4.868,0.0,67.5312,hand_occlusion_reappear_candidate_0030
best_roi_refresh,candidate_0043,93.106,20.0,10.0,4.106,0.0,72.60979999999999,hand_occlusion_reappear_candidate_0043
best_roi_stereo_preservation,candidate_0040,93.03,20.0,10.0,4.03,0.0,73.1228,hand_occlusion_reappear_candidate_0040
best_roi_stereo_rebuild,no_pass_candidate,,,,,,,
best_roi_stereo_direct_build,no_pass_candidate,,,,,,,
