frame_id,baseline_region_id,pixel_count,bbox_x,bbox_y,bbox_w,bbox_h,center_x,center_y,estimated_distance_mm,matched_stereo_points,stereo_evidence,review_priority,source_color,baseline_overlay,filtered_overlay
15,4,9479,0,0,125,185,62,66,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000015_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000015_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000015_overlay.png
30,2,56654,0,0,413,300,201,104,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000030_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000030_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000030_overlay.png
45,2,54001,0,0,414,325,164,99,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000045_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000045_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000045_overlay.png
45,4,4808,0,359,64,121,27,428,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000045_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000045_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000045_overlay.png
60,2,27115,0,0,156,329,60,104,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000060_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000060_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000060_overlay.png
60,4,26933,296,0,344,141,487,53,1216,654,1,high_target_risk,datasets\hand_occlusion_reappear\frames\000060_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000060_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000060_overlay.png
75,1,43674,116,0,307,247,267,99,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000075_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000075_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000075_overlay.png
75,2,25503,302,0,338,141,485,51,1216,661,1,high_target_risk,datasets\hand_occlusion_reappear\frames\000075_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000075_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000075_overlay.png
75,4,12400,0,0,143,189,71,72,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000075_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000075_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000075_overlay.png
90,3,24792,304,0,336,142,485,50,1216,694,1,high_target_risk,datasets\hand_occlusion_reappear\frames\000090_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000090_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0038\final_segmentation_frame_000090_overlay.png
