slot,candidate_id,total_score,near_score,far_score,performance_score,unknown_p50,frame_ms_p95,run_id
best_overall,candidate_0030,92.727,20.0,10.0,3.727,0.0,75.14159999999997,hand_occlusion_reappear_candidate_0030
best_far_retention,candidate_0030,92.727,20.0,10.0,3.727,0.0,75.14159999999997,hand_occlusion_reappear_candidate_0030
best_realtime,candidate_0030,92.727,20.0,10.0,3.727,0.0,75.14159999999997,hand_occlusion_reappear_candidate_0030
best_low_unknown,candidate_0030,92.727,20.0,10.0,3.727,0.0,75.14159999999997,hand_occlusion_reappear_candidate_0030
best_low_merge,candidate_0030,92.727,20.0,10.0,3.727,0.0,75.14159999999997,hand_occlusion_reappear_candidate_0030
best_low_split,candidate_0030,92.727,20.0,10.0,3.727,0.0,75.14159999999997,hand_occlusion_reappear_candidate_0030
best_roi_refresh,candidate_0047,92.355,20.0,10.0,3.355,0.0,77.62199999999999,hand_occlusion_reappear_candidate_0047
best_roi_stereo_preservation,candidate_0047,92.355,20.0,10.0,3.355,0.0,77.62199999999999,hand_occlusion_reappear_candidate_0047
best_roi_stereo_rebuild,no_pass_candidate,,,,,,,
best_roi_stereo_direct_build,no_pass_candidate,,,,,,,
