slot,candidate_id,total_score,near_score,far_score,performance_score,unknown_p50,frame_ms_p95,run_id
best_overall,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_far_retention,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_realtime,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_low_unknown,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_low_merge,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_low_split,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_roi_refresh,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_roi_stereo_preservation,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
best_roi_stereo_rebuild,candidate_0033,94.414,20.0,10.0,5.414,0.0,63.8886,local_motion_roi_stereo_probe_candidate_0033
best_roi_stereo_direct_build,candidate_0035,94.917,20.0,10.0,5.917,0.0,60.534600000000005,local_motion_roi_stereo_probe_candidate_0035
