candidate_id,case_id,total_score,pass,cluster_coverage_p50,unknown_p50,near_score,far_score,temporal_score,frame_ms_p95,frame_ms_max,frame_over_100ms_count,sampled_frame_ms_p95,timing_source,merge_events,split_events,contour_lost_events,color_refresh_count,color_refresh_motion_count,color_refresh_unknown_spike_count,color_refresh_far_loss_count,color_cache_reuse_count,color_stereo_reuse_p50,color_async_submitted_count,color_async_applied_count,color_async_dropped_count,color_refresh_cooldown_skipped_count,color_refresh_roi_count,color_refresh_roi_pixels_p95,color_refresh_roi_candidate_pixels_p95,color_refresh_roi_rejected_empty_count,color_refresh_roi_rejected_large_count,color_refresh_roi_region_count,color_refresh_roi_stereo_reuse_count,color_refresh_roi_stereo_built_count,color_refresh_roi_stereo_failed_count,color_refresh_roi_preserved_stereo_count,color_refresh_roi_stereo_dropped_count,color_refresh_roi_stereo_dropped_pixels,roi_stereo_g1_preservation_pass,roi_stereo_g2_rebuild_pass,color_cache_age_p95,color_async_worker_ms_p95,color_async_worker_ms_positive_p95,run_id
candidate_0014,depth_hole_black_object,94.077,1,100.0,0.0,20.0,10.0,15.0,66.13495,94.673,0,93.483,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,depth_hole_black_object_candidate_0014
candidate_0014,far_cabinet,94.032,1,100.0,0.0,20.0,10.0,15.0,66.43905,95.47,0,94.3793,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,far_cabinet_candidate_0014
candidate_0014,near_single_object,93.72,1,100.0,0.0,20.0,10.0,15.0,68.52005,87.619,0,87.4831,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,near_single_object_candidate_0014
candidate_0013,depth_hole_black_object,93.647,1,100.0,0.0,20.0,7.0,15.0,48.991249999999994,74.015,0,73.6869,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,depth_hole_black_object_candidate_0013
candidate_0013,near_single_object,92.8,1,100.0,0.0,20.0,7.0,15.0,54.644499999999994,72.269,0,71.86090000000002,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,near_single_object_candidate_0013
candidate_0013,far_cabinet,92.339,1,100.0,0.0,20.0,7.0,15.0,57.721849999999996,73.645,0,72.54459999999999,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,far_cabinet_candidate_0013
baseline_default,depth_hole_black_object,89.0,0,100.0,0.0,20.0,10.0,15.0,374.90515000000005,404.089,90,365.0549,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,depth_hole_black_object_baseline_default
candidate_0001,depth_hole_black_object,89.0,0,100.0,0.0,20.0,10.0,15.0,383.90555,411.505,90,339.1076,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,depth_hole_black_object_candidate_0001
candidate_0002,depth_hole_black_object,89.0,0,100.0,0.0,20.0,10.0,15.0,371.898,397.512,90,370.00579999999997,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,depth_hole_black_object_candidate_0002
baseline_default,far_cabinet,89.0,0,100.0,0.0,20.0,10.0,15.0,431.35285,440.559,90,409.11199999999997,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,far_cabinet_baseline_default
candidate_0001,far_cabinet,89.0,0,100.0,0.0,20.0,10.0,15.0,447.6009,496.6,90,468.0775,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,far_cabinet_candidate_0001
candidate_0002,far_cabinet,89.0,0,100.0,0.0,20.0,10.0,15.0,429.3917,450.392,90,385.6544,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,far_cabinet_candidate_0002
baseline_default,near_single_object,89.0,0,100.0,0.0,20.0,10.0,15.0,253.8098,262.45,90,254.7744,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,near_single_object_baseline_default
candidate_0001,near_single_object,89.0,0,100.0,0.0,20.0,10.0,15.0,257.14939999999996,287.443,90,267.7989,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,near_single_object_candidate_0001
candidate_0002,near_single_object,89.0,0,100.0,0.0,20.0,10.0,15.0,252.77555,265.365,90,233.37570000000002,profile.csv,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,near_single_object_candidate_0002
